"","prate","mrate"
"1",26.1000003814697,0.209999993443489
"2",100,1.41999995708466
"3",97.5999984741211,0.910000026226044
"4",100,0.419999986886978
"5",82.5,0.529999971389771
"6",100,1.82000005245209
"7",100,0.529999971389771
"8",92.5,0.340000003576279
"9",100,0.219999998807907
"10",96.8000030517578,0.600000023841858
"11",83,0.5
"12",100,1.11000001430511
"13",65.5,0.430000007152557
"14",84.9000015258789,0.509999990463257
"15",100,0.189999997615814
"16",100,0.409999996423721
"17",100,0.839999973773956
"18",77.5999984741211,0.46000000834465
"19",100,0.449999988079071
"20",100,1.12999999523163
"21",66.9000015258789,0.479999989271164
"22",100,0.389999985694885
"23",70.3000030517578,0.209999993443489
"24",100,0.949999988079071
"25",51.2999992370605,0.340000003576279
"26",61.2999992370605,0.360000014305115
"27",88.3000030517578,0.959999978542328
"28",100,0.870000004768372
"29",82.9000015258789,4.19999980926514
"30",77.8000030517578,0.0799999982118607
"31",100,0.910000026226044
"32",90.0999984741211,0.439999997615814
"33",85.3000030517578,0.620000004768372
"34",100,0.280000001192093
"35",100,0.589999973773956
"36",75.5999984741211,0.300000011920929
"37",100,0.560000002384186
"38",100,0.649999976158142
"39",100,1.30999994277954
"40",78.1999969482422,0.209999993443489
"41",77.4000015258789,0.409999996423721
"42",100,0.230000004172325
"43",77,0.409999996423721
"44",100,2.02999997138977
"45",98.9000015258789,0.519999980926514
"46",75.3000030517578,0.389999985694885
"47",77.1999969482422,0.159999996423721
"48",100,0.990000009536743
"49",88.5,0.100000001490116
"50",100,0.0199999995529652
"51",100,0.879999995231628
"52",42.5,0.28999999165535
"53",100,0.129999995231628
"54",100,1.5900000333786
"55",74.6999969482422,0.579999983310699
"56",37.5,0.28999999165535
"57",78,0.140000000596046
"58",84,0.649999976158142
"59",100,2.39000010490417
"60",100,1.13999998569489
"61",84.9000015258789,0.409999996423721
"62",79.5,0.219999998807907
"63",100,0.449999988079071
"64",100,1.10000002384186
"65",95.8000030517578,0.629999995231628
"66",99.3000030517578,0.490000009536743
"67",81.1999969482422,0.150000005960464
"68",93.5999984741211,0.109999999403954
"69",88.0999984741211,0.239999994635582
"70",100,0.649999976158142
"71",100,1.35000002384186
"72",100,0.200000002980232
"73",81,0.180000007152557
"74",100,1.16999995708466
"75",73.8000030517578,1.12000000476837
"76",65.6999969482422,0.150000005960464
"77",94.9000015258789,1.6599999666214
"78",38.0999984741211,0.200000002980232
"79",91.9000015258789,0.200000002980232
"80",35.5999984741211,0.189999997615814
"81",71.9000015258789,0.219999998807907
"82",77.4000015258789,2.24000000953674
"83",100,0.620000004768372
"84",93.1999969482422,0.439999997615814
"85",84.5999984741211,0.439999997615814
"86",90.3000030517578,0.469999998807907
"87",73,0.119999997317791
"88",86.3000030517578,0.439999997615814
"89",95.5999984741211,0.439999997615814
"90",80.5,4.65999984741211
"91",65.5999984741211,0.259999990463257
"92",37.7000007629395,0.349999994039536
"93",78.4000015258789,0.230000004172325
"94",61.7000007629395,0.230000004172325
"95",58.7000007629395,0.25
